repo_full,month,alert_type,severity,metric,value,threshold,reason
department-of-veterans-affairs/va.gov-team,2023-03,Issue积压严重,红,backlog_end,57.0,50,新增-关闭>50，积压上升
directus/directus,2023-03,Issue积压上升,黄,backlog_end,21.0,10,新增>关闭，积压开始累积
dotnet/AspNetCore.Docs,2023-03,Issue积压上升,黄,backlog_end,17.0,10,新增>关闭，积压开始累积
dotnet/aspnetcore,2023-03,Issue积压严重,红,backlog_end,51.0,50,新增-关闭>50，积压上升
dotnet/maui,2023-03,Issue积压上升,黄,backlog_end,27.0,10,新增>关闭，积压开始累积
dotnet/roslyn,2023-03,Issue积压上升,黄,backlog_end,20.0,10,新增>关闭，积压开始累积
dotnet/runtime,2023-03,Issue积压严重,红,backlog_end,67.0,50,新增-关闭>50，积压上升
elastic/elasticsearch,2023-03,Issue积压上升,黄,backlog_end,36.0,10,新增>关闭，积压开始累积
elastic/kibana,2023-03,Issue积压严重,红,backlog_end,133.0,50,新增-关闭>50，积压上升
element-plus/element-plus,2023-03,Issue积压严重,红,backlog_end,72.0,50,新增-关闭>50，积压上升
elementor/elementor,2023-03,Issue积压严重,红,backlog_end,52.0,50,新增-关闭>50，积压上升
envoyproxy/envoy,2023-03,Issue积压上升,黄,backlog_end,37.0,10,新增>关闭，积压开始累积
espressif/esp-idf,2023-03,Issue积压上升,黄,backlog_end,46.0,10,新增>关闭，积压开始累积
expo/expo,2023-03,Issue积压上升,黄,backlog_end,31.0,10,新增>关闭，积压开始累积
facebook/react,2023-03,Issue积压上升,黄,backlog_end,26.0,10,新增>关闭，积压开始累积
filecoin-project/filecoin-plus-large-datasets,2023-03,Issue积压严重,红,backlog_end,103.0,50,新增-关闭>50，积压上升
getsentry/sentry,2023-03,Issue积压严重,红,backlog_end,74.0,50,新增-关闭>50，积压上升
github/codeql,2023-03,Issue积压上升,黄,backlog_end,21.0,10,新增>关闭，积压开始累积
go-gitea/gitea,2023-03,Issue积压严重,红,backlog_end,57.0,50,新增-关闭>50，积压上升
godotengine/godot,2023-03,Issue积压严重,红,backlog_end,353.0,50,新增-关闭>50，积压上升
golang/go,2023-03,Issue积压上升,黄,backlog_end,20.0,10,新增>关闭，积压开始累积
grafana/grafana,2023-03,Issue积压严重,红,backlog_end,135.0,50,新增-关闭>50，积压上升
grafana/loki,2023-03,Issue积压严重,红,backlog_end,56.0,50,新增-关闭>50，积压上升
gravitational/teleport,2023-03,Issue积压严重,红,backlog_end,83.0,50,新增-关闭>50，积压上升
grpc/grpc,2023-03,Issue积压上升,黄,backlog_end,12.0,10,新增>关闭，积压开始累积
hashicorp/terraform-provider-aws,2023-03,Issue积压上升,黄,backlog_end,39.0,10,新增>关闭，积压开始累积
hashicorp/terraform-provider-azurerm,2023-03,Issue积压严重,红,backlog_end,71.0,50,新增-关闭>50，积压上升
hashicorp/vault,2023-03,Issue积压上升,黄,backlog_end,11.0,10,新增>关闭，积压开始累积
helix-editor/helix,2023-03,Issue积压上升,黄,backlog_end,33.0,10,新增>关闭，积压开始累积
home-assistant/core,2023-03,Issue积压严重,红,backlog_end,58.0,50,新增-关闭>50，积压上升
huggingface/transformers,2023-03,Issue积压严重,红,backlog_end,79.0,50,新增-关闭>50，积压上升
influxdata/telegraf,2023-03,Issue积压上升,黄,backlog_end,33.0,10,新增>关闭，积压开始累积
jitsi/jitsi-meet,2023-03,Issue积压上升,黄,backlog_end,17.0,10,新增>关闭，积压开始累积
joomla/joomla-cms,2023-03,Issue积压上升,黄,backlog_end,26.0,10,新增>关闭，积压开始累积
keycloak/keycloak,2023-03,Issue积压严重,红,backlog_end,1047.0,50,新增-关闭>50，积压上升
kubernetes/kubernetes,2023-03,Issue积压上升,黄,backlog_end,43.0,10,新增>关闭，积压开始累积
llvm/llvm-project,2023-03,Issue积压严重,红,backlog_end,215.0,50,新增-关闭>50，积压上升
logseq/logseq,2023-03,Issue积压上升,黄,backlog_end,11.0,10,新增>关闭，积压开始累积
magento/magento2,2023-03,Issue积压严重,红,backlog_end,104.0,50,新增-关闭>50，积压上升
mastodon/mastodon,2023-03,Issue积压严重,红,backlog_end,59.0,50,新增-关闭>50，积压上升
metabase/metabase,2023-03,Issue积压上升,黄,backlog_end,40.0,10,新增>关闭，积压开始累积
microsoft/PowerToys,2023-03,Issue积压严重,红,backlog_end,210.0,50,新增-关闭>50，积压上升
microsoft/TypeScript,2023-03,Issue积压严重,红,backlog_end,55.0,50,新增-关闭>50，积压上升
microsoft/WSL,2023-03,Issue积压严重,红,backlog_end,59.0,50,新增-关闭>50，积压上升
microsoft/azuredatastudio,2023-03,Issue积压上升,黄,backlog_end,27.0,10,新增>关闭，积压开始累积
microsoft/fluentui,2023-03,Issue积压上升,黄,backlog_end,13.0,10,新增>关闭，积压开始累积
microsoft/onnxruntime,2023-03,Issue积压严重,红,backlog_end,63.0,50,新增-关闭>50，积压上升
microsoft/playwright,2023-03,Issue积压上升,黄,backlog_end,16.0,10,新增>关闭，积压开始累积
microsoft/vscode,2023-03,Issue积压严重,红,backlog_end,429.0,50,新增-关闭>50，积压上升
microsoft/vscode-jupyter,2023-03,Issue积压上升,黄,backlog_end,29.0,10,新增>关闭，积压开始累积
microsoft/winget-pkgs,2023-03,Issue积压上升,黄,backlog_end,14.0,10,新增>关闭，积压开始累积
mlflow/mlflow,2023-03,Issue积压上升,黄,backlog_end,24.0,10,新增>关闭，积压开始累积
mui/material-ui,2023-03,Issue积压严重,红,backlog_end,52.0,50,新增-关闭>50，积压上升
mui/mui-x,2023-03,Issue积压严重,红,backlog_end,69.0,50,新增-关闭>50，积压上升
nextcloud/desktop,2023-03,Issue积压上升,黄,backlog_end,26.0,10,新增>关闭，积压开始累积
o3de/o3de,2023-03,Issue积压严重,红,backlog_end,100.0,50,新增-关闭>50，积压上升
opencv/opencv,2023-03,Issue积压上升,黄,backlog_end,30.0,10,新增>关闭，积压开始累积
openjournals/joss-reviews,2023-03,Issue积压上升,黄,backlog_end,13.0,10,新增>关闭，积压开始累积
openssl/openssl,2023-03,Issue积压上升,黄,backlog_end,44.0,10,新增>关闭，积压开始累积
openwrt/openwrt,2023-03,Issue积压上升,黄,backlog_end,41.0,10,新增>关闭，积压开始累积
oppia/oppia,2023-03,Issue积压上升,黄,backlog_end,18.0,10,新增>关闭，积压开始累积
pingcap/tidb,2023-03,Issue积压严重,红,backlog_end,95.0,50,新增-关闭>50，积压上升
postmanlabs/postman-app-support,2023-03,Issue积压上升,黄,backlog_end,29.0,10,新增>关闭，积压开始累积
ppy/osu,2023-03,Issue积压上升,黄,backlog_end,43.0,10,新增>关闭，积压开始累积
prisma/prisma,2023-03,Issue积压严重,红,backlog_end,83.0,50,新增-关闭>50，积压上升
project-chip/connectedhomeip,2023-03,Issue积压上升,黄,backlog_end,16.0,10,新增>关闭，积压开始累积
prusa3d/PrusaSlicer,2023-03,Issue积压严重,红,backlog_end,156.0,50,新增-关闭>50，积压上升
python/cpython,2023-03,Issue积压上升,黄,backlog_end,17.0,10,新增>关闭，积压开始累积
pytorch/pytorch,2023-03,Issue积压严重,红,backlog_end,246.0,50,新增-关闭>50，积压上升
qbittorrent/qBittorrent,2023-03,Issue积压严重,红,backlog_end,66.0,50,新增-关闭>50，积压上升
qgis/QGIS,2023-03,Issue积压严重,红,backlog_end,55.0,50,新增-关闭>50，积压上升
qmk/qmk_firmware,2023-03,Issue积压上升,黄,backlog_end,15.0,10,新增>关闭，积压开始累积
quarkusio/quarkus,2023-03,Issue积压上升,黄,backlog_end,17.0,10,新增>关闭，积压开始累积
rails/rails,2023-03,Issue积压上升,黄,backlog_end,24.0,10,新增>关闭，积压开始累积
rancher/rancher,2023-03,Issue积压上升,黄,backlog_end,17.0,10,新增>关闭，积压开始累积
ray-project/ray,2023-03,Issue积压上升,黄,backlog_end,30.0,10,新增>关闭，积压开始累积
raycast/extensions,2023-03,Issue积压严重,红,backlog_end,96.0,50,新增-关闭>50，积压上升
